island_id,census_year,total_households,total_housing_units,house_flat_apartment,boats_mobile_units,buildings_not_habitable,other_household_units,collective_living_qtrs,labor_staff_quarters,other_clq,avg_household_size
116,2022,183,167,159,0,4,4,16,14,2,7.79
117,2022,96,96,96,0,0,0,0,0,0,9.89
118,2022,35,33,32,1,0,0,2,2,0,12.29
119,2022,64,57,55,2,0,0,7,7,0,2.67
120,2022,0,0,0,0,0,0,0,0,0,
121,2022,0,0,0,0,0,0,0,0,0,
122,2022,0,0,0,0,0,0,0,0,0,
123,2022,59,56,54,0,1,1,3,3,0,
124,2022,142,141,140,0,0,1,1,1,0,2.43
125,2022,324,312,308,2,2,0,12,12,0,1.97
126,2022,284,277,272,0,4,1,7,7,0,5.03
127,2022,126,115,112,0,3,0,11,11,0,12.35
128,2022,178,173,165,0,3,5,5,3,2,3.53
129,2022,127,118,117,1,0,0,9,9,0,5.96
130,2022,188,169,167,1,1,0,19,19,0,3.68
131,2022,159,153,151,0,0,2,6,6,0,5.78
132,2022,63,63,61,2,0,0,0,0,0,11.49
133,2022,333,316,308,3,2,3,17,16,1,0.92
134,2022,170,169,167,2,0,0,1,1,0,10.26
135,2022,408,382,374,3,3,2,26,23,3,2.29
136,2022,354,341,334,4,2,1,13,13,0,5.18
137,2022,85,82,81,0,0,1,3,3,0,21.87
138,2022,634,622,619,1,2,0,12,12,0,0.6
139,2022,78,77,73,2,2,0,1,1,0,42.58
140,2022,274,269,267,1,1,0,5,4,1,1.54
141,2022,267,252,249,2,1,0,15,14,1,4.6
142,2022,163,147,147,0,0,0,16,16,0,7.84
143,2022,97,97,94,1,0,2,0,0,0,6.84
144,2022,189,185,184,0,1,0,4,4,0,2.87
145,2022,323,310,302,8,0,0,13,13,0,2.96
146,2022,337,328,324,3,1,0,9,7,2,5.22
147,2022,149,145,144,1,0,0,4,4,0,12.56
148,2022,137,134,130,0,1,3,3,3,0,3.92
149,2022,336,315,309,1,3,2,21,19,2,1.65
150,2022,92,92,92,0,0,0,0,0,0,19.07
151,2022,782,738,730,3,3,2,44,43,1,0.58
152,2022,2623,2338,2277,9,47,5,285,279,6,1.64
153,2022,284,274,273,1,0,0,10,7,3,48.45
154,2022,541,514,507,1,5,1,27,26,1,2.18
155,2022,304,293,290,0,3,0,11,11,0,8.36
156,2022,433,422,420,2,0,0,11,10,1,3.23
157,2022,103,102,100,2,0,0,1,1,0,18.37
158,2022,158,156,156,0,0,0,2,2,0,3.18
159,2022,186,180,180,0,0,0,6,6,0,3.73
160,2022,271,266,262,3,1,0,5,4,1,3.15
161,2022,469,452,448,2,2,0,17,14,3,3.35
162,2022,131,124,122,0,2,0,7,7,0,17.21
163,2022,256,244,241,1,2,0,12,10,2,2.31
164,2022,228,223,218,4,1,0,5,4,1,5.23
165,2022,130,114,113,1,0,0,16,16,0,7.08
166,2022,206,204,202,2,0,0,2,2,0,3.32
167,2022,118,111,110,1,0,0,7,7,0,8.0
168,2022,373,361,359,0,2,0,12,12,0,1.28
169,2022,91,89,88,0,0,1,2,2,0,23.01
170,2022,96,96,94,0,1,1,0,0,0,5.67
171,2022,97,89,86,2,0,1,8,8,0,3.82
172,2022,130,129,127,1,1,0,1,1,0,3.18
173,2022,69,67,67,0,0,0,2,2,0,9.41
174,2022,262,256,241,10,5,0,6,6,0,1.21
175,2022,234,225,218,3,4,0,9,9,0,5.53
176,2022,113,113,112,1,0,0,0,0,0,10.14
177,2022,144,143,143,0,0,0,1,1,0,3.17
178,2022,208,205,193,9,3,0,3,3,0,3.44
179,2022,114,113,113,0,0,0,1,1,0,7.53
180,2022,253,245,239,4,2,0,8,5,3,1.65
181,2022,72,72,69,3,0,0,0,0,0,17.07
182,2022,268,262,250,8,2,2,6,5,1,1.36
183,2022,246,237,232,4,1,0,9,8,1,5.37
184,2022,134,124,120,3,0,1,10,9,1,8.07
185,2022,94,76,72,1,2,1,18,12,6,6.6
186,2022,141,126,121,4,0,1,15,13,2,2.84
187,2022,31,28,28,0,0,0,3,3,0,20.68
188,2022,42,28,27,0,1,0,14,12,2,1.81
189,2022,0,0,0,0,0,0,0,0,0,
